num_expediente;tipo_accidente;distrito;estado_meteorologico;franja_horaria;tipo_via;coordenada_x_utm;coordenada_y_utm;fecha;hora_numero;nivel_lesividad
2024S028274;Colisión doble;SALAMANCA;Lluvia débil;Mediodía;Vías de pequeño tamaño;443765,0;4475786,0;2024-10-09;14;0
2024S028275;Colisión doble;CARABANCHEL;Lluvia débil;Mediodía;Vías de gran tamaño;437613,0;4471302,0;2024-10-09;14;0
2024S028276;Colisión doble;SALAMANCA;Lluvia débil;Mediodía;Vías de pequeño tamaño;442578,0;4474974,0;2024-10-09;14;1
2024S028277;Colisión doble;CHAMARTÍN;LLuvia intensa;Mediodía;Vías de gran tamaño;443222,0;4479034,0;2024-10-09;14;1
2024S028278;Alcance;LATINA;LLuvia intensa;Mediodía;Vías de pequeño tamaño;434166,0;4468213,0;2024-10-09;14;0
2024S028279;Colisión múltiple;SALAMANCA;LLuvia intensa;Mediodía;Vías de pequeño tamaño;441567,0;4476593,0;2024-10-09;14;0
2024S028280;Caída;RETIRO;LLuvia intensa;Mediodía;Vías de pequeño tamaño;443132,0;4474376,0;2024-10-09;14;1
2024S028281;Colisión doble;CARABANCHEL;Lluvia débil;Mediodía;Vías de pequeño tamaño;437276,0;4471091,0;2024-10-09;15;0
2024S028282;Colisión doble;SAN BLAS-CANILLEJAS;Lluvia débil;Mediodía;Vías rápidas o carreteras;451067,0;4475488,0;2024-10-09;15;0
2024S028283;Colisión múltiple;CIUDAD LINEAL;LLuvia intensa;Mediodía;Vías rápidas o carreteras;442900,0;4481708,0;2024-10-09;14;0
2024S028284;Colisión doble;HORTALEZA;Lluvia débil;Mediodía;Vías de pequeño tamaño;444580,0;4479847,0;2024-10-09;15;0
2024S028286;Colisión doble;CHAMARTÍN;Lluvia débil;Tarde;Vías de pequeño tamaño;442418,0;4476786,0;2024-10-09;16;1
2024S028287;Colisión doble;RETIRO;Lluvia débil;Tarde;Vías de pequeño tamaño;443141,0;4472596,0;2024-10-09;16;0
2024S028288;Caída;LATINA;LLuvia intensa;Mediodía;Vías rápidas o carreteras;434952,0;4469051,0;2024-10-09;15;1
2024S028289;Caída;SALAMANCA;LLuvia intensa;Tarde;Vías de pequeño tamaño;441606,0;4474869,0;2024-10-09;16;1
